Nb_sac, Nb_obj, Algorithme, Temps (s), VALEUR_TOTAL
21, 700, GA, 0.9305366, 1014383
23, 700, BSO, 0.4726524, 333483
23, 700, GA, 1.0150818, 1061189
25, 700, BSO, 0.8961336, 319470
25, 700, GA, 1.0984362, 1037048
27, 700, BSO, 1.0244233, 337036
27, 700, GA, 1.1748087, 1059309
29, 700, BSO, 0.6684201, 374658
29, 700, GA, 1.2862446, 1117751
31, 700, BSO, 1.3744226, 340044
31, 700, GA, 1.4185083, 1038398
33, 700, BSO, 1.5772364, 327773
33, 700, GA, 1.4976844, 1057548
35, 700, BSO, 1.0315021, 327836
35, 700, GA, 1.7023073, 1061506
37, 700, BSO, 2.3352649, 337361
37, 700, GA, 1.8005253, 1077434
39, 700, BSO, 0.184059, 330391
39, 700, GA, 1.8200558, 1039562
41, 700, BSO, 1.3085132, 342344
41, 700, GA, 1.9679157, 1039849
43, 700, BSO, 1.2770327, 330892
43, 700, GA, 1.8873577, 1030855
45, 700, BSO, 0.1937751, 352185
45, 700, GA, 2.2831872, 1069928
47, 700, BSO, 1.9138163, 330310
47, 700, GA, 2.1280104, 1071301
49, 700, BSO, 1.8307374, 340369
49, 700, GA, 2.2717041, 1064712
1, 800, BSO, 0.1601114, 330411
1, 800, GA, 0.0973513, 595891
3, 800, BSO, 0.1751041, 318127
3, 800, GA, 0.2259927, 1035224
5, 800, BSO, 0.1880822, 357304
5, 800, GA, 0.3206895, 1189231
7, 800, BSO, 0.2046097, 333487
7, 800, GA, 0.4353001, 1149800
9, 800, BSO, 0.302195, 317528
9, 800, GA, 0.5266474, 1172408
11, 800, BSO, 0.2821077, 325749
11, 800, GA, 0.6195816, 1206830
13, 800, BSO, 0.3110231, 310182
13, 800, GA, 0.7048883, 1175332
15, 800, BSO, 0.3840831, 315705
15, 800, GA, 1.0020396, 1178439
17, 800, BSO, 0.4202206, 316700
17, 800, GA, 0.8992324, 1165768
19, 800, BSO, 0.7796597, 334029
19, 800, GA, 0.98988, 1172708
21, 800, BSO, 0.1836669, 318327
21, 800, GA, 1.0860709, 1190409
23, 800, BSO, 0.6126347, 336738
23, 800, GA, 1.1994338, 1202543
25, 800, BSO, 1.1972238, 305561
25, 800, GA, 1.3530554, 1208134
27, 800, BSO, 0.7738893, 325255
27, 800, GA, 1.3867621, 1193036
29, 800, BSO, 0.1984776, 339757
29, 800, GA, 1.5245703, 1232949
31, 800, BSO, 0.9732531, 345496
31, 800, GA, 1.8203053, 1213374
33, 800, BSO, 2.071959, 324452
33, 800, GA, 2.1370363, 1190223
35, 800, BSO, 1.3919299, 315870
35, 800, GA, 1.8418405, 1192119
37, 800, BSO, 1.6503395, 333394
37, 800, GA, 2.0969342, 1187942
39, 800, BSO, 2.7819987, 317830
39, 800, GA, 2.1807078, 1205683
41, 800, BSO, 0.217981, 335503
41, 800, GA, 2.4415775, 1210180
43, 800, BSO, 3.5723946, 335547
43, 800, GA, 2.2118454, 1157734
